valeur,text
0,Je perds 15 kilos
500,Je lance mon live avec une nouvelle intro de stream après 7 ans de loyaux services
1000,"Je suis normal, je me teins les cheveux en vert pour l’événement"
5000,On ouvre les serveurs de SPAM 2.0
7500,Partie d’Isaac en duo avec Shisheyu : 100 € dans la cagnotte de l’autre chaque fois qu’on prononce le mot intankable
10000,Je regarde ma première vidéo YouTube et je promets de ne pas quitter le setup et de garder mon casque avec le son (99 % impossible)
15000,TGR réagit à ma vidéo storytelling Fleur de sel
20000,Tier list des jeux ZLAN avec Rayou et Zera vérifie (il va se plaindre)
25000,"J’invite en présentiel un ami d’enfance que je n’ai pas vu depuis 20 ans, médecin de la douleur, et on parle de la cause"
30000,Une psychologue vient me faire passer un véritable test de QI (HPI)
40000,Je prends mon tout premier cheatmeal des 60 derniers jours en live
50000,Cosplay Crocodyle géant
60000,Je me fais tatouer pendant le ZEvent la rune d’Elden Ring (grosse pièce) dans le dos pour me souvenir que j’ai 12 500 morts
70000,Je fais la CroCup 2 (donjon escape game dans Minecraft)
80000,Je pose un matelas dans ma salle de stream à la fin du ZEvent et je ne coupe pas mon live tant que je n’ai pas terminé Silksong à 100 % dès la fin du ZEvent
100000,Je tire ma révérence avec un ultime arc LoL en jungle après 4 ans de multigaming (Kayn / Kha’Zix / Evelynn uniquement)
1000000,Je reprends mes 15 kilos et j’arrête le sport
